drivers;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
IKZF3;0.0;9.0;2.0;7.0;0.0;7.0;2.0;0.0;0.0
IKZF4;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0
IKZF5;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
IRF1;3.0;18.0;5.0;16.0;0.0;16.0;4.0;0.0;1.0
IRF2;1.0;6.0;1.0;6.0;0.0;5.0;1.0;1.0;0.0
IRF3;5.0;17.0;2.0;16.0;4.0;16.0;2.0;4.0;0.0
IRF4;0.0;8.0;2.0;6.0;0.0;6.0;2.0;0.0;0.0
IRF5;7.0;18.0;2.0;17.0;6.0;17.0;1.0;7.0;0.0
IRF6;4.0;19.0;6.0;15.0;2.0;16.0;4.0;2.0;1.0
IRF7;6.0;16.0;5.0;15.0;2.0;16.0;3.0;2.0;1.0
IRF8;1.0;7.0;2.0;5.0;1.0;5.0;2.0;1.0;0.0
IRF9;1.0;3.0;0.0;3.0;1.0;3.0;0.0;1.0;0.0
IRX2;1.0;17.0;0.0;18.0;0.0;17.0;0.0;1.0;0.0
IRX3;7.0;22.0;5.0;21.0;3.0;21.0;3.0;4.0;1.0
IRX5;0.0;2.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0
IRX6;9.0;34.0;13.0;27.0;3.0;26.0;10.0;5.0;2.0
JAZF1;20.0;26.0;1.0;28.0;17.0;27.0;0.0;19.0;0.0
JDP2;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0
JRKL;11.0;18.0;6.0;17.0;6.0;18.0;3.0;6.0;2.0
JUN;0.0;2.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0
JUNB;0.0;2.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0
JUND;1.0;6.0;2.0;5.0;0.0;5.0;1.0;0.0;1.0
KAT7;3.0;19.0;5.0;16.0;1.0;16.0;3.0;2.0;1.0
KCMF1;11.0;20.0;7.0;19.0;5.0;20.0;2.0;6.0;3.0
KCNIP3;5.0;8.0;2.0;8.0;3.0;8.0;0.0;4.0;1.0
KDM2A;8.0;29.0;7.0;27.0;3.0;27.0;3.0;5.0;2.0
KDM5B;2.0;25.0;4.0;21.0;2.0;21.0;3.0;3.0;0.0
KIN;4.0;16.0;3.0;15.0;2.0;15.0;1.0;3.0;1.0
KLF10;1.0;44.0;0.0;44.0;1.0;43.0;0.0;2.0;0.0
KLF12;1.0;2.0;0.0;2.0;1.0;2.0;0.0;1.0;0.0
KLF15;10.0;26.0;6.0;24.0;6.0;25.0;3.0;6.0;2.0
KLF16;9.0;20.0;10.0;14.0;5.0;15.0;7.0;5.0;2.0
KLF2;1.0;3.0;1.0;3.0;0.0;3.0;0.0;0.0;1.0
KLF3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0
KLF4;1.0;6.0;1.0;5.0;1.0;6.0;0.0;1.0;0.0
KLF5;15.0;43.0;20.0;33.0;5.0;35.0;9.0;6.0;8.0
KLF6;0.0;7.0;4.0;3.0;0.0;3.0;4.0;0.0;0.0
KLF7;5.0;10.0;3.0;10.0;2.0;10.0;2.0;3.0;0.0
KLF9;4.0;20.0;4.0;20.0;0.0;20.0;3.0;0.0;1.0
KMT2A;6.0;14.0;3.0;15.0;2.0;15.0;1.0;3.0;1.0
KMT2B;3.0;15.0;2.0;13.0;3.0;14.0;1.0;3.0;0.0
L3MBTL1;12.0;30.0;5.0;29.0;8.0;29.0;3.0;9.0;1.0
L3MBTL4;2.0;3.0;2.0;2.0;1.0;2.0;2.0;1.0;0.0
LCOR;4.0;10.0;3.0;10.0;1.0;9.0;1.0;2.0;2.0
LCORL;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
LHX4;0.0;4.0;1.0;3.0;0.0;4.0;0.0;0.0;0.0
LHX6;2.0;4.0;0.0;5.0;1.0;4.0;0.0;2.0;0.0
LIN54;3.0;17.0;2.0;16.0;2.0;16.0;2.0;2.0;0.0
LMX1B;4.0;8.0;2.0;8.0;2.0;8.0;1.0;3.0;0.0
LTF;6.0;18.0;5.0;15.0;4.0;15.0;4.0;4.0;1.0
LYL1;7.0;17.0;5.0;14.0;5.0;14.0;5.0;5.0;0.0
MAF;7.0;73.0;29.0;48.0;3.0;49.0;25.0;6.0;0.0
MAFB;1.0;8.0;0.0;8.0;1.0;8.0;0.0;1.0;0.0
MAFF;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
MAFG;1.0;11.0;0.0;12.0;0.0;11.0;0.0;1.0;0.0
MAFK;11.0;28.0;0.0;29.0;10.0;28.0;0.0;11.0;0.0
MAX;0.0;2.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0
MAZ;5.0;30.0;5.0;26.0;4.0;26.0;5.0;4.0;0.0
MBD1;1.0;2.0;1.0;2.0;0.0;2.0;0.0;0.0;1.0
MBD3;6.0;24.0;10.0;17.0;3.0;19.0;8.0;3.0;0.0
MBD4;14.0;27.0;8.0;27.0;6.0;26.0;3.0;7.0;5.0
MBD6;1.0;8.0;0.0;8.0;1.0;8.0;0.0;1.0;0.0
MBNL2;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
MECP2;0.0;7.0;2.0;5.0;0.0;6.0;1.0;0.0;0.0
MEF2A;9.0;25.0;9.0;23.0;2.0;22.0;5.0;4.0;3.0
MEF2B;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
MEF2C;3.0;9.0;2.0;7.0;3.0;8.0;1.0;3.0;0.0
MEF2D;1.0;6.0;3.0;4.0;0.0;4.0;3.0;0.0;0.0
MEIS1;4.0;9.0;2.0;8.0;3.0;10.0;0.0;3.0;0.0
MEIS2;0.0;10.0;3.0;7.0;0.0;9.0;1.0;0.0;0.0
MEIS3;6.0;15.0;6.0;12.0;3.0;12.0;4.0;3.0;2.0
MEOX1;1.0;10.0;7.0;4.0;0.0;4.0;7.0;0.0;0.0
MEOX2;9.0;18.0;1.0;18.0;8.0;18.0;0.0;8.0;1.0
MGA;6.0;32.0;9.0;26.0;3.0;27.0;6.0;4.0;1.0
MITF;7.0;19.0;3.0;18.0;5.0;18.0;2.0;5.0;1.0
MKX;7.0;18.0;6.0;15.0;4.0;16.0;3.0;6.0;0.0
MLX;0.0;4.0;1.0;3.0;0.0;3.0;1.0;0.0;0.0
MLXIP;3.0;20.0;1.0;19.0;3.0;20.0;0.0;3.0;0.0
MLXIPL;34.0;42.0;1.0;45.0;30.0;46.0;0.0;30.0;0.0
MNT;1.0;6.0;1.0;6.0;0.0;5.0;1.0;1.0;0.0
MSANTD3;15.0;36.0;8.0;35.0;8.0;36.0;5.0;8.0;2.0
MSANTD4;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
MSC;3.0;28.0;0.0;29.0;2.0;28.0;0.0;3.0;0.0
MSX1;1.0;3.0;1.0;3.0;0.0;2.0;1.0;1.0;0.0
MTF1;3.0;4.0;4.0;2.0;1.0;3.0;3.0;1.0;0.0
MXD3;0.0;7.0;0.0;7.0;0.0;7.0;0.0;0.0;0.0
MXD4;5.0;8.0;2.0;7.0;4.0;8.0;1.0;4.0;0.0
MYB;4.0;12.0;3.0;10.0;3.0;10.0;2.0;3.0;1.0
MYBL1;1.0;26.0;0.0;26.0;1.0;26.0;0.0;1.0;0.0
MYBL2;7.0;25.0;4.0;23.0;5.0;23.0;3.0;6.0;0.0
MYC;3.0;74.0;2.0;73.0;2.0;71.0;1.0;5.0;0.0
